dataset,condition,n_turns,mean_input_tokens,p95_input_tokens,mean_output_tokens,p95_output_tokens,mean_latency_ms,condition_label
cross_arch,C0,1200,142.2075,148.0,35.845,54.0,632.1433333333333,C0 No memory
cross_arch,C1,1200,142.2075,148.0,36.0,54.0,632.7941666666667,C1 Positive-only memory
cross_arch,C2,1200,186.67666666666668,229.0,31.986666666666668,52.0,571.4366666666666,C2 Error memory
cross_arch,C3,1200,228.5675,309.04999999999995,32.12916666666667,54.0,574.6458333333334,C3 Mixed memory
cross_arch,C4,1200,174.2,182.0,31.894166666666667,54.0,565.1475,C4 Direct Correction Baseline
main_qwen7b14b,C0,800,142.2075,148.0,50.9875,58.0,950.51625,C0 No memory
main_qwen7b14b,C1,800,142.2075,148.0,50.97375,58.0,947.755,C1 Positive-only memory
main_qwen7b14b,C2,800,183.68,220.0,49.03,58.0,923.58375,C2 Error memory
main_qwen7b14b,C3,800,228.34,307.0,49.75125,58.0,938.065,C3 Mixed memory
main_qwen7b14b,C4,800,174.2,182.0,49.195,58.0,925.8875,C4 Direct Correction Baseline
