model,condition,mean_latency_ms,p95_latency_ms,mean_input_tokens,mean_output_tokens,n_turns
local_transformers:Qwen2___5-14B-Instruct,C0,1265.64,1277.0,142.46,54.434285714285714,350
local_transformers:Qwen2___5-14B-Instruct,C1,1264.7742857142857,1268.0,142.46,54.465714285714284,350
local_transformers:Qwen2___5-14B-Instruct,C2,1263.4942857142858,1271.0,186.6742857142857,54.26571428571429,350
local_transformers:Qwen2___5-14B-Instruct,C3,1273.6542857142856,1286.0,241.57142857142858,54.745714285714286,350
local_transformers:Qwen2___5-14B-Instruct,C4,1262.74,1270.0,174.43714285714285,54.23714285714286,350
local_transformers:Qwen2___5-7B-Instruct,C0,630.4485714285714,694.0,142.46,47.27428571428572,350
local_transformers:Qwen2___5-7B-Instruct,C1,625.8628571428571,694.0,142.46,47.145714285714284,350
local_transformers:Qwen2___5-7B-Instruct,C2,572.2314285714285,695.0,193.04,42.957142857142856,350
local_transformers:Qwen2___5-7B-Instruct,C3,594.8085714285714,701.0,240.22285714285715,44.151428571428575,350
local_transformers:Qwen2___5-7B-Instruct,C4,581.0542857142857,695.0,174.43714285714285,43.348571428571425,350
